Tamanho N;       Tempo       ;    Testes;           Movimentacoes       ;       Semente;
1000;               0        ;       231106;                  693315    ;               10;
1000 ;              0       ;        240691 ;                 722070   ;                100;
1000;               0      ;         248694  ;                746079  ;                 1000;
1000 ;              0     ;          246926   ;               740775 ;                  10000;
1000  ;             0    ;           245481    ;              736440;                   100000;
1000   ;            0   ;            240508     ;             721521 ;                  1000000;
5000    ;           3  ;             5662606     ;             16987815              ;     10;
5000     ;          4 ;              6197873      ;            18593616             ;      100;
5000      ;         4;               6226749       ;           18680244            ;       1000;
5000       ;        4            ;   6174709        ;          18524124           ;        10000;
5000        ;       4           ;    6200614         ;         18601839          ;         100000;
5000         ;      3          ;     6217845          ;        18653532         ;          1000000;
10000         ;      15       ;        22787540        ;          68362617     ;              10;
10000          ;     16      ;         24776205         ;         74328612    ;               100;
10000           ;    16     ;          25089490          ;        75268467   ;                1000;
10000            ;   17    ;           25105207           ;       75315618  ;                 1000;
10000             ;  15   ;            25137572            ;      75412713 ;                  100000;
10000              ; 19  ;             24797148             ;     74391441;                   1000000;
50000;               545;               561923647            ;      1685770938               ;    10;
50000 ;              496            ;   623869171             ;     1871607510              ;     100;
50000  ;             512           ;    625292837              ;    1875878508             ;      1000;
50000   ;            454          ;     624781815               ;   1874345442            ;       10000;
50000    ;           448         ;      624999511   ;               1874998530           ;        100000;
50000     ;          452        ;       624066439    ;              1872199314          ;         1000000;
100000     ;          1677     ;          2249410731  ;                6748232190      ;             10;
100000      ;         1793    ;           2481988817   ;               7445966448     ;              100;
100000       ;        1754   ;            2493911475    ;              7481734422    ;               1000;
100000        ;       1827  ;             2504561326     ;             7513683975   ;                10000;
100000         ;      1686 ;              2498442020      ;            7495326057  ;                 100000;
100000          ;     1724;               2497379159       ;           7492137474 ;                  1000000;

Media total de trocas: 59461409;
 Media total de Movimentações: 178384226; 
