Tamanho N:       Tempo:           Testes:           Movimentacoes:              Semente:
1000:               0:               2828:                  11517:                   10:
1000:               0:               5688:                  9102:                   100:
1000:               0:               7380:                  8058:                   1000:
1000:               0:               7462:                  7866:                   10000:
1000:               0:               9010:                  7572:                   100000:
1000:               0:               7847:                  7743:                   1000000:
5000:               0:               12348:                  75150:                   10:
5000:               0:               25497:                  62160:                   100:
5000:               0:               45030:                  52029:                   1000:
5000:               0:               46955:                  47496:                   10000:
5000:               0:               46077:                  47517:                   100000:
5000:               0:               48316:                  46962:                   1000000:
10000:               0:               25111:                  165033:                   10:
10000:               0:               54165:                  138450:                   100:
10000:               0:               81702:                  116355:                   1000:
10000:               0:               110545:                  102093:                   10000:
10000:               0:               108420:                  100632:                   100000:
10000:               0:               115809:                  99060:                   1000000:
50000:               0:               128255:                  997806:                   10:
50000:               0:               269635:                  865071:                   100:
50000:               0:               428460:                  734691:                   1000:
50000:               0:               520024:                  638619:                   10000:
50000:               0:               604111:                  595599:                   100000:
50000:               0:               609898:                  587958:                   1000000:
100000:               0:               269784:                  2139225:                   10:
100000:               0:               565720:                  1871730:                   100:
100000:               0:               893074:                  1615839:                   1000:
100000:               0:               1217127:                  1379787:                   10000:
100000:               0:               1286755:                  1269513:                   100000:
100000:               0:               1259088:                  1251501:                   1000000:
500000:               4:               1374552:                  12422706:                   10:
500000:               3:               3225156:                  11051250:                   100:
500000:               4:               4496377:                  9734343:                   1000:
500000:               3:               6322271:                  8482341:                   10000:
500000:               3:               7003374:                  7501512:                   100000:
500000:               3:               8038644:                  7045536:                   1000000:
1000000:               11:               2619120:                  26330994:                   10:
1000000:               9:               6429334:                  23535756:                   100:
1000000:               8:               9111661:                  20981928:                   1000:
1000000:               6:               11584045:                  18434073:                   10000:
1000000:               7:               15626338:                  16139070:                   100000:
1000000:               6:               16348061:                  14957991:                   1000000:
 
