Tamanho	Testes	Movimentacoes	Tempo	Semente
1000	499500		2997	0	10
1000	499500		2997	0	100
1000	499500		2997	0	1000
1000	499500		2997	0	10000
1000	499500		2997	0	100000
1000	499500		2997	0	1000000
5000	12497500	14997	0	10
5000	12497500	14997	0	100
5000	12497500	14997	0	1000
5000	12497500	14997	0	10000
5000	12497500	14997	0	100000
5000	12497500	14997	0	1000000
10000	49995000	29997	0	10
10000	49995000	29997	0	100
10000	49995000	29997	0	1000
10000	49995000	29997	0	10000
10000	49995000	29997	0	100000
10000	49995000	29997	0	1000000
50000	1249975000	149997	40	10
50000	1249975000	149997	46	100
50000	1249975000	149997	55	1000
50000	1249975000	149997	48	10000
50000	1249975000	149997	57	100000
50000	1249975000	149997	59	1000000
100000	4999950000	299997	231	10
100000	4999950000	299997	201	100
100000	4999950000	299997	197	1000
100000	4999950000	299997	176	10000
100000	4999950000	299997	147	100000
100000	4999950000	299997	187	1000000

Media total de trocas: 24038;
 Media total de Movimentações: 7143; 
